##MAIN
name				Sammy_
	frame	data/chars/heroes/sammy/special204.png
	attack 132 115 49 27 9 0 0 20 12
	bbox 	147 112 13 65
	frame	data/chars/heroes/sammy/special205.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special205.png
	@cmd keyMove 1 0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special200.png
	attack 144 103 38 42 5 0 0 15 12
	bbox 	147 111 12 66
	frame	data/chars/heroes/sammy/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special201.png
	attack 158 105 30 28 5 0 0 15 12
	bbox 	147 112 12 65
	frame	data/chars/heroes/sammy/special202.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special202.png
	bbox 	147 110 12 67
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special203.png
	attack 142 105 38 40 5 0 0 15 12
	frame	data/chars/heroes/sammy/special204.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special204.png
	attack 132 115 49 27 5 0 0 15 12
	bbox 	147 112 13 65
	frame	data/chars/heroes/sammy/special205.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special205.png
	@cmd keyMove 1 0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special200.png
	attack 144 103 38 42 4 0 0 10 12
	bbox 	147 111 12 66
	frame	data/chars/heroes/sammy/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special201.png
	attack 158 105 30 28 4 0 0 10 12
	bbox 	147 112 12 65
	frame	data/chars/heroes/sammy/special202.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special202.png
	bbox 	147 110 12 67
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special203.png
	attack 142 105 38 40 4 0 0 10 12
	frame	data/chars/heroes/sammy/special204.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special204.png
	attack 132 115 49 27 4 0 0 10 12
	bbox 	147 112 13 65
	frame	data/chars/heroes/sammy/special205.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special205.png
	@cmd keyMove 1 0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special200.png
	attack 144 103 38 42 3 0 0 5 12
	bbox 	147 111 12 66
	frame	data/chars/heroes/sammy/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special201.png
	attack 158 105 30 28 3 0 0 5 12
	bbox 	147 112 12 65
	frame	data/chars/heroes/sammy/special202.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special202.png
	bbox 	147 110 12 67
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/special203.png
	attack 142 105 38 40 3 0 0 5 12
	frame	data/chars/heroes/sammy/special204.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special204.png
	attack 132 115 49 27 3 0 0 5 12
	bbox 	147 112 13 65
	frame	data/chars/heroes/sammy/special205.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/special205.png
	bbox 	147 128 17 49
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/a300.png
	attack2 147 137 42 16 15 0 0 0 30 12
	bbox 	144 116 18 61
	frame	data/chars/heroes/sammy/a301.png
	hitfx	data/sounds/HighKick.wav
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/sammy/a301.png
	attack 155 107 41 36 9 1 0 0 25 12
	bbox 	144 106 21 32
	frame	data/chars/heroes/sammy/a302.png
	attack 128 105 44 21 9 1 0 0 20 12
	bbox 	143 116 21 33
	frame	data/chars/heroes/sammy/a303.png
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 119 27 26
	frame	data/chars/heroes/sammy/a304.png
	bbox 	136 124 29 27
	frame	data/chars/heroes/sammy/a305.png
		delay	12
	bbox 	144 130 17 47
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/a306.png

anim follow7 #COUNTER
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	energycost 10 1 6
	loop	0
	delay	4
	offset	153 175
	hitfx	data/sounds/HighPunch.wav
	frame	data/chars/heroes/sammy/block00.png
	@cmd spawn01 "Counter" 0 0 1
	@cmd block 0
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/sammy/dodge00.png
	@cmd dasher 1.5 0 0
	attack 140 152 24 24 8 0 0 0 20 12
	dropv 3.5 1 0
	frame	data/chars/heroes/sammy/dodge01.png
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge02.png
	attack 140 152 24 24 8 1 0 0 20 12
	dropv 3.5 1 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge03.png
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge04.png
	attack 140 152 24 24 8 0 0 0 20 12
	dropv 3.5 1 0
	frame	data/chars/heroes/sammy/dodge01.png
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge02.png
	attack 140 152 24 24 8 1 0 0 20 12
	dropv 4 1 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge03.png
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 1.5 0 0
	frame	data/chars/heroes/sammy/dodge04.png
	bbox 141 136 19 41
	@cmd dasher 0 0 0
	frame	data/chars/heroes/sammy/dodge04.png

anim dodge
	range 0 160
	rangea 0 100
	rangez -48 48
	loop	0
	delay	2
	offset	153 175
	@cmd antiHole 120 "flip"
	@cmd dashRandom 1 1
	@cmd copyMove
	frame	data/chars/heroes/sammy/dodge00.png
		delay	8
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge01.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge02.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge03.png
	@cmd pasteMove
	frame	data/chars/heroes/sammy/dodge04.png
		delay	16
	@cmd dasher 0 0 0
	frame	data/chars/heroes/sammy/dodge05.png

anim block
	range 0 160
	rangea 0 100
	rangez -48 48
	loop	0
	delay	96
	offset	153 175
	bbox 	145 112 15 65
	frame	data/chars/heroes/sammy/block00.png
