##MAIN
name				Blaze_
	attack2 130 101 50 80 4 0 0 0 15 24
	seal 1 1
	frame	data/chars/heroes/blaze/rage04.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/rage05.png
	@cmd looper 1 3 #3
	hitfx	data/sounds/MediumPunch.wav
	sound	data/sounds/MediumAttack.wav
	frame	data/chars/heroes/blaze/special203.png
	attack 130 100 55 80 4 0 0 0 25 24
	seal 1 1
	frame	data/chars/heroes/blaze/special204.png
	frame	data/chars/heroes/blaze/special205.png
	hitfx	data/sounds/HighPunch.wav
	sound	data/sounds/HighAttack.wav
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special205.png
	attack 130 118 70 62 6 0 0 0 5 24
	seal 1 1
	frame	data/chars/heroes/blaze/special206.png
	offset 90 182
	delay 2
	@cmd looper 4 5 #8
	frame	data/chars/heroes/blaze/counter05.png
	delay	4
	@cmd dasher 0.2 0 0
	hitfx	data/sounds/LowKick.wav
	sound	data/sounds/SpecialAttack.wav
	attack2 105 100 45 80 20 0 0 0 35 24
	frame	data/chars/heroes/blaze/counter04.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/counter05.png
	@cmd looper 9 2 #11
	delay	4
	offset	127 179
	@cmd dasher 0.3 0 0
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	frame	data/chars/heroes/blaze/a300.png
	attack2 154 130 20 50 7 0 0 0 35 24
	frame	data/chars/heroes/blaze/a301.png
	delay 2
	hitfx	data/sounds/HighKick.wav
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a301.png
	hitflash Impact
	delay	4
	attack 154 120 40 60 9 1 0 0 30 18
	frame	data/chars/heroes/blaze/a302.png
	delay 2
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/a302.png
	hitflash Flash
	delay	4
	attack 154 100 40 80 9 1 0 0 25 18
	frame	data/chars/heroes/blaze/a303.png
	delay 2
	hitflash Impact
	hitfx	data/sounds/HighPunch.wav
	sound	data/voices/Blaze7.wav
	@cmd dasher 0 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/rage01.png
	frame	data/chars/heroes/blaze/rage02.png
	frame	data/chars/heroes/blaze/rage03.png
	frame	data/chars/heroes/blaze/rage04.png
	delay	4
	attack8 125 75 125 108 25 1 0 0 30 36
	seal 1 1
	dropv 3 5
	frame	data/chars/heroes/blaze/special206.png
	delay	2
	@cmd spawn01 "Dust" 20 0 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png
	delay	4
	attack8 125 75 125 108 25 1 0 0 30 36
	seal 1 1
	dropv 3 5
	frame	data/chars/heroes/blaze/special206.png
	delay	2
	@cmd spawn01 "Dust" 20 0 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png
	delay	4
	attack8 125 75 125 108 25 1 0 0 30 36
	seal 1 1
	dropv 3 5
	frame	data/chars/heroes/blaze/special206.png
	delay	2
	@cmd spawn01 "Dust" 20 0 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png
	delay	4
	attack8 125 75 125 108 25 1 0 0 30 36
	seal 1 1
	dropv 3 5
	frame	data/chars/heroes/blaze/special206.png
	delay	2
	@cmd spawn01 "Dust" 20 0 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png
	delay	4
	attack8 125 75 125 108 25 1 0 0 30 36
	seal 1 1
	dropv 3 5
	frame	data/chars/heroes/blaze/special206.png
	delay	2
	@cmd spawn01 "Dust" 20 0 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/special207.png



anim follow7 #COUNTER
	fastattack 1
	forcedirection -1
	otg 1
	energycost 10 1 6
	loop	0
	delay	4
	offset	127 179
	sound	data/voices/Blaze6.wav
	frame	data/chars/heroes/blaze/block00.png
	@cmd spawn01 "Counter" 0 0 1
	@cmd block 0
	hitfx	data/sounds/LowKick.wav
	delay	6
	@cmd dasher 2 0 0
	attack2 105 100 45 80 20 0 0 0 35 24
	frame	data/chars/heroes/blaze/counter04.png
	delay	4
	@cmd dasher 2.5 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/heroes/blaze/counter05.png
	delay	9
	@cmd dasher 1.5 0 0
	attack8 105 100 45 80 25 1 0 0 30 24
	dropv 3 0.5 0
	frame	data/chars/heroes/blaze/counter05.png
	delay	16
	attack 0 0 0 0 0 0 0 0 0 0
	@cmd dasher 0.5 0 0
	frame	data/chars/heroes/blaze/counter05.png

anim dodge
	range 0 160
	rangea 0 100
	rangez -48 48
	loop	0
	delay	2
	offset	127 179
	@cmd antiHole 120 "flip"
	@cmd dashRandom 1 1
	@cmd copyMove
	frame	data/chars/heroes/blaze/dodge00.png
		delay	8
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge01.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge02.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge03.png
	@cmd pasteMove
	frame	data/chars/heroes/blaze/dodge04.png
	@cmd dasher 0 0 0
	frame	data/chars/heroes/blaze/dodge05.png

anim block
	range 0 160
	rangea 0 100
	rangez -48 48
	loop	0
	delay	96
	offset	127 179
	bbox 	113 108 16 73
	frame	data/chars/heroes/blaze/block00.png
