##MAIN
name                ParticleB
    frame    data/chars/bosses/particle/idle00.png
    frame    data/chars/bosses/particle/idle01.png
    frame    data/chars/bosses/particle/idle00.png
    frame    data/chars/bosses/particle/idle01.png
    @cmd hurtPerc 20
    frame    data/chars/bosses/particle/idle00.png

anim special #SHOCK
    fastattack 1
    jugglecost 1
    forcedirection 0
    otg 1
    energycost 10 1 6
    hitflash Shock
    loop    0
    delay    3
    offset    143 192
    sound    data/sounds/Shock.wav
    frame    data/chars/bosses/particle/special00.png
    frame    data/chars/bosses/particle/special01.png
    frame    data/chars/bosses/particle/special00.png
    frame    data/chars/bosses/particle/special01.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special02.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special04.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special02.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special04.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png

anim special2 #SHOCK
    fastattack 1
    jugglecost 1
    forcedirection 0
    otg 1
    energycost 10 1 6
    hitflash Shock
    loop    0
    delay    3
    offset    143 192
    sound    data/sounds/Shock.wav
    frame    data/chars/bosses/particle/special00.png
    frame    data/chars/bosses/particle/special01.png
    frame    data/chars/bosses/particle/special00.png
    frame    data/chars/bosses/particle/special01.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special02.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special04.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special02.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png
    shock 114 109 61 85 3 1 0 0 20 36
    dropv 2.5 1 0
    frame    data/chars/bosses/particle/special04.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/special03.png


anim freespecial #RAGE
    range 60 450
    rangea 0 0
    energycost 60 1 6
    loop    0
    delay    2
    offset    143 192
    @cmd spawnBind "Rage" 0 0 -1
    sound    data/voices/Attack7.wav
    frame    data/chars/bosses/particle/laser00.png
    frame    data/chars/bosses/particle/laser01.png
    frame    data/chars/bosses/particle/laser02.png
    frame    data/chars/bosses/particle/laser03.png
    frame    data/chars/bosses/particle/laser04.png
    frame    data/chars/bosses/particle/laser05.png
        delay    8
    frame    data/chars/bosses/particle/laser06.png
        delay    4
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
    frame    data/chars/bosses/particle/laser07.png
    @cmd shoot "Particle_LaserR" 30 52 0 9 0 0 "dual"
    sound    data/sounds/LaserShot.wav
    frame    data/chars/bosses/particle/laser08.png
        delay    6
    frame    data/chars/bosses/particle/laser09.png
    frame    data/chars/bosses/particle/laser10.png
    frame    data/chars/bosses/particle/laser11.png
    frame    data/chars/bosses/particle/laser12.png
    frame    data/chars/bosses/particle/laser13.png
    frame    data/chars/bosses/particle/laser14.png
    frame    data/chars/bosses/particle/laser15.png

anim follow7 #COUNTER
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    2
    offset    143 192
    bbox     129 102 28 92
    hitfx    data/sounds/Clash4.wav
    sound    data/sounds/Whoosh3.wav
    frame    data/chars/bosses/particle/a100.png
    frame    data/chars/bosses/particle/a101.png
    attack 149 115 31 77 3 1 0 0 20 36
    frame    data/chars/bosses/particle/a102.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a102.png
    delay    2
    attack 149 115 45 77 3 1 0 0 20 36
    frame    data/chars/bosses/particle/a103.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a103.png
    delay    2
    attack 149 115 56 77 5 1 0 0 20 36
    frame    data/chars/bosses/particle/a104.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a104.png
    delay    2
    attack 149 115 66 77 5 1 0 0 20 36
    frame    data/chars/bosses/particle/a105.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a105.png
    delay    2
    attack 149 115 73 77 7 1 0 0 20 36
    frame    data/chars/bosses/particle/a106.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a106.png
    delay    2
    attack 149 115 80 77 7 1 0 0 20 36
    frame    data/chars/bosses/particle/a107.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a107.png
    delay    2
    @cmd rageCancel 20 80 10 80 60 "ANI_FREESPECIAL" "hit"
    attack8 149 115 83 77 9 1 0 0 20 36
    dropv 3 1 0
    frame    data/chars/bosses/particle/a108.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a108.png
    delay    2
    attack8 149 115 86 77 9 1 0 0 20 36
    delay    2
    dropv 3 1 0
    frame    data/chars/bosses/particle/a109.png
    delay    1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/particle/a109.png


anim block
    range 0 100
    rangea 0 100
    rangez -24 24
    @cmd dasher 0 0 0
    loop    0
    delay    96
    offset    143 192
    bbox     117 101 64 91
    frame    data/chars/bosses/particle/block00.png


anim dodge
    range 0 60
    rangea 0 100
    rangez -24 24
    loop    0
    delay    1
    offset    143 192
    @cmd dashRandom 2 2
    @cmd copyMove
    sound    data/sounds/Run4.wav
    frame    data/chars/bosses/particle/walk00.png
        delay    8
    @cmd pasteMove
    frame    data/chars/bosses/particle/walk01.png
    @cmd pasteMove
    frame    data/chars/bosses/particle/walk00.png
    @cmd pasteMove
    frame    data/chars/bosses/particle/walk01.png
        delay    16
    @cmd dasher 0 0 0
    frame    data/chars/bosses/particle/walk00.png
