##MAIN
name                SOR3_Shiva
    frame    data/chars/bosses/shivabot/rage04.png
    attack 118 123 51 19 2 0 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage05.png
    @cmd looper 3 5
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage06.png
        delay    4
    hitfx    data/sounds/StrongPunch.wav
    sound    data/sounds/StrongAttack.wav
    frame    data/chars/bosses/shivabot/rage07.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage08.png
    attack2 137 125 51 17 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage09.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage10.png
    frame    data/chars/bosses/shivabot/rage11.png
    sound    data/sounds/StrongAttack.wav
    frame    data/chars/bosses/shivabot/rage12.png
    frame    data/chars/bosses/shivabot/rage13.png
    attack2 126 127 51 19 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage14.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage15.png
    frame    data/chars/bosses/shivabot/rage16.png
    @cmd looper 7 2
    frame    data/chars/bosses/shivabot/rage17.png
    frame    data/chars/bosses/shivabot/rage18.png
        delay    4
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/HighAttack.wav
    frame    data/chars/bosses/shivabot/rage19.png
    attack 136 138 30 31 4 0 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage20.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage21.png
    attack 136 95 48 57 4 0 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage22.png
    attack 136 85 32 57 4 0 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage23.png
        delay    8
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage24.png
        delay    4
    attack 136 111 42 52 4 0 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage25.png
    frame    data/chars/bosses/shivabot/rage26.png
    hitfx    data/sounds/HighPunch.wav
    sound    data/sounds/HighAttack.wav
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage27.png
    frame    data/chars/bosses/shivabot/rage28.png
    burn 122 129 33 29 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage29.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage30.png
    burn 154 132 68 26 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage31.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage31.png
    burn 154 130 72 24 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage32.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage32.png
    burn 154 126 85 31 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage33.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage33.png
    burn 154 132 102 16 4 0 0 0 5 12
    seal 1 1
    frame    data/chars/bosses/shivabot/rage34.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage35.png
    hitfx    data/sounds/HighPunch.wav
    @cmd dasher 0
    frame    data/chars/bosses/shivabot/block00.png
    sound    data/voices/Shiva1.wav
    frame    data/chars/bosses/shivabot/s00.png
    @cmd dasher 1.2
    attack 125 110 48 80 15 0 0 0 25 36
    frame    data/chars/bosses/shivabot/s01.png
    delay 1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/s01.png
    delay 4
    hitflash Impact
    attack8 125 110 62 80 35 1 0 0 25 36
    seal 1 1
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s02.png
    @cmd dasher 1
    attack8 125 110 65 80 35 1 0 0 45 36
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s03.png
    @cmd dasher 0.5 0 0
    attack8 125 110 65 80 35 1 0 0 45 36
    seal 1 1
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s04.png
    delay 1
    @cmd dasher 0 0 0
    attack8 125 110 60 80 35 1 0 0 45 36
    seal 1 1
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s05.png
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    frame    data/chars/bosses/shivabot/s05.png


anim freespecial2 #FINAL CRASH RUN
    range 60 120
    rangea 0 0
    fastattack 1
    jugglecost 0
    energycost 15 1 6
    forcedirection -1
    otg 1
    loop    0
    delay    1
    offset    138 192
    bbox     146 142 35 52
    @cmd target 3 3
    @cmd dashTarget
    sound    data/sounds/Slide.wav
    frame    data/chars/bosses/shivabot/run00.png
        delay    3
    @cmd cancel 30 60 0 100 -24 24 "ANI_FOLLOW1"
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run00.png
    @cmd cancel 30 60 0 100 -24 24 "ANI_FOLLOW1"
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run01.png
        delay    8
    @cmd looper 1 7
    @cmd dasher 2 0 0
    bbox     126 145 33 49
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 1 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 0 0 0
    bbox     123 155 31 39
    frame    data/chars/bosses/shivabot/finalcrash09.png
    @cmd clearL
    frame    data/chars/bosses/shivabot/finalcrash09.png

anim follow1 #FINAL CRASH
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    3
    offset    138 192
    hitfx    data/sounds/MediumKick.wav
    sound    data/sounds/SpecialAttack.wav
    @cmd cancelRandom 30 60 0 0 0 "ANI_FOLLOW2"
    @cmd dasher 2 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 1 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 0.5 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 0 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
        delay    6
    attack2 147 140 41 54 8 0 0 0 10 12
    sound    data/voices/Shiva3.wav
    frame    data/chars/bosses/shivabot/finalcrash01.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/finalcrash02.png
    attack2 124 152 59 42 8 0 0 0 10 12
    frame    data/chars/bosses/shivabot/finalcrash03.png
    @cmd rageCancel 40 80 0 0 60 "ANI_FREESPECIAL" "hit"
    attack 0 0 0 0 0 0 0 0 0 0
    hitfx    data/sounds/HighKick.wav
    frame    data/chars/bosses/shivabot/finalcrash03.png
    burn 144 106 55 53 12 1 0 0 10 12
    bbox     116 135 33 59
    frame    data/chars/bosses/shivabot/finalcrash04.png
    @cmd leaper 1 2.2 0
    burn 137 76 37 63 12 1 0 0 10 12
    bbox     126 127 37 39
    frame    data/chars/bosses/shivabot/finalcrash05.png
    @cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "random"
    @cmd flip
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     117 128 48 33
    frame    data/chars/bosses/shivabot/finalcrash06.png
    bbox     116 123 47 31
    frame    data/chars/bosses/shivabot/finalcrash07.png
        delay    2
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/finalcrash08.png
        delay    12
    @cmd landFrame
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel 0 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    @cmd clearL
    bbox     123 155 31 39
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/finalcrash09.png

anim follow2 #SUPER FINAL CRASH
    fastattack 1
    jugglecost 1
    energycost 25 1 6
    forcedirection -1
    otg 1
    loop    0
    delay    3
    offset    138 192
    hitfx    data/sounds/MediumKick.wav
    sound    data/sounds/SpecialAttack.wav
    @cmd dasher 3 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 2.5 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 2 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
    @cmd dasher 1.5 0 0
    frame    data/chars/bosses/shivabot/finalcrash00.png
        delay    6
    @cmd dasher 1 0 0
    attack2 147 140 41 54 4 0 0 0 15 12
    sound    data/voices/Shiva4.wav
    frame    data/chars/bosses/shivabot/finalcrash01.png
    @cmd dasher 0.5 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/finalcrash02.png
    @cmd dasher 0 0 0
    attack2 124 152 59 42 4 0 0 0 15 12
    frame    data/chars/bosses/shivabot/finalcrash03.png
    attack 0 0 0 0 0 0 0 0 0 0
    hitfx    data/sounds/SpecialAttack3.wav
    hitflash Impact
    frame    data/chars/bosses/shivabot/finalcrash03.png
    burn 144 106 55 53 8 4 0 0 45 12
    dropv 4 2 0
    bbox     116 135 33 59
    frame    data/chars/bosses/shivabot/finalcrash04.png
    @cmd leaper 1.4 2.2 0
    burn 137 76 37 63 8 4 0 0 45 12
    dropv 3 2 0
    bbox     126 127 37 39
    frame    data/chars/bosses/shivabot/finalcrash05.png
    @cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "random"
    @cmd flip
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     117 128 48 33
    frame    data/chars/bosses/shivabot/finalcrash06.png
    bbox     116 123 47 31
    @cmd clearL
    frame    data/chars/bosses/shivabot/finalcrash07.png
        delay    2
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/finalcrash08.png
    @cmd landFrame
    @cmd flip
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
        delay    12
    bbox     123 155 31 39
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/finalcrash09.png

anim freespecial3 #DRAGON CLAW
    range 40 80
    rangea 0 0
    fastattack 1
    jugglecost 1
    energycost 15 1 6
    forcedirection -1
    otg 1
    loop    0
    delay    4
    offset    138 192
    bbox     128 114 18 80
    hitfx    data/sounds/HighKick.wav
    sound    data/sounds/SpecialAttack4.wav
    frame    data/chars/bosses/shivabot/rage18.png
    bbox     124 114 20 80
    frame    data/chars/bosses/shivabot/rage19.png
    attack 136 138 30 31 4 0 0 0 20 12
    dropv 2 1 0
    bbox     128 114 18 80
    frame    data/chars/bosses/shivabot/rage20.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage21.png
    attack 136 95 48 57 4 0 0 0 20 12
    dropv 2 1 0
    frame    data/chars/bosses/shivabot/rage22.png
    attack 136 85 32 57 4 0 0 0 20 12
    dropv 2 1 0
    frame    data/chars/bosses/shivabot/rage23.png
        delay    8
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage24.png
        delay    4
    attack 136 111 42 52 4 0 0 0 20 12
    dropv 2 1 0
    frame    data/chars/bosses/shivabot/rage25.png
    frame    data/chars/bosses/shivabot/rage26.png
    hitfx    data/sounds/HighPunch.wav
    sound    data/sounds/SpecialAttack2.wav
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage27.png
    frame    data/chars/bosses/shivabot/rage28.png
    burn 122 129 33 29 4 0 0 0 5 12
    dropv 1 1 0
    bbox     130 122 33 72
    frame    data/chars/bosses/shivabot/rage29.png
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     149 134 31 60
    frame    data/chars/bosses/shivabot/rage30.png
    burn 154 132 68 26 4 0 0 0 5 12
    dropv 1 1 0
    frame    data/chars/bosses/shivabot/rage31.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage31.png
    burn 154 130 72 24 4 0 0 0 5 12
    dropv 1 1 0
    frame    data/chars/bosses/shivabot/rage32.png
    @cmd rageCancel 40 60 0 0 60 "ANI_FREESPECIAL" "hit"
    @cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "random"
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage32.png
    burn 154 126 85 31 4 1 0 0 5 12
    dropv 2 3 0
    frame    data/chars/bosses/shivabot/rage33.png
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage33.png
    burn 154 132 102 16 4 1 0 0 5 12
    dropv 2 3 0
    frame    data/chars/bosses/shivabot/rage34.png
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
        delay    8
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/rage35.png

anim freespecial4 #GRAB RUN
    range 40 120
    rangea 0 0
    rangez -9 9
    followanim 5
    followcond 4
    attackone 1
    fastattack 1
    jugglecost 1
    energycost 5 1 6
    forcedirection -1
    otg 1
    loop    0
    delay    8
    offset    138 192
    sound    data/voices/Shiva1.wav
    @cmd block 1
    bbox     128 114 25 80
    frame    data/chars/bosses/shivabot/block00.png
    frame    data/chars/bosses/shivabot/block00.png
    frame    data/chars/bosses/shivabot/block00.png
    @cmd block 0
        delay    12
    @cmd target 3.5 2
    sound    data/sounds/Slide.wav
    bbox     145 136 43 56
    @cmd dashTarget
    attack 145 50 43 143 1 0 1 1 0 24
    frame    data/chars/bosses/shivabot/run00.png
    @cmd target 3.5 2
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run01.png
    @cmd target 3.5 2
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run00.png
    @cmd target 3.5 2
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run01.png
    @cmd target 3.5 2
    @cmd dashTarget
    frame    data/chars/bosses/shivabot/run00.png
    @cmd dasher 0
    frame    data/chars/bosses/shivabot/run01.png

anim follow5 #ANIMATION FOR DOGRAB ONLY
    loop    0
    delay    16
    offset    138 192
    @cmd dasher 0
    @cmd landGrab
    frame    data/chars/bosses/shivabot/run00.png

anim freespecial5
    range 80 150
    rangea 25 80
    rangez -24 24
    fastattack 1
    jugglecost 0
    energycost 25 1 6
    forcedirection -1
    otg 1
    hitflash flash
    loop    0
    delay    6
    offset    138 192
    hitfx    data/sounds/SpecialAttack2.wav
    sound    data/voices/Attack4.wav
    frame    data/chars/bosses/shivabot/run00.png
        delay 24
    @cmd dasher 10 0 0
    attack 95 50 104 143 2 1 0 0 30 36
    seal 1 1
    sound    data/sounds/Shring5.wav
    frame    data/chars/bosses/shiva/rage00.png
        delay 8
    @cmd dasher 0 0 0
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/run01.png
    frame    data/chars/bosses/shivabot/a101.png

anim freespecial9
    range 80 160
    rangea 0 100
    rangez -15 15
    fastattack 0
    jugglecost 1
    forcedirection -1
    energycost -20 1 6
    otg 1
    loop    0
    delay 24
    offset    138 192
    @cmd dasher 0 0 0
    sound    data/voices/Shiva1.wav
    hitfx    data/sounds/WeakPunch.wav
    @cmd spawnAnim "Shiva_Bot_Double" 0 0 0
    frame    data/chars/bosses/shivabot/a100.png
    frame    data/chars/bosses/shivabot/a101.png
    delay 48
    @cmd looParent 2
    frame    data/chars/bosses/shivabot/a102.png

anim follow7 #COUNTER
    fastattack 1
    jugglecost 1
    forcedirection -1
    otg 1
    loop    0
    delay    4
    offset    138 192
    hitfx    data/sounds/HighPunch.wav
    @cmd spawn01 "Counter" 0 0 1
    @cmd block 0
    @cmd dasher 0
    frame    data/chars/bosses/shivabot/block00.png
    sound    data/voices/Shiva1.wav
    frame    data/chars/bosses/shivabot/s00.png
    delay    8
    @cmd dasher 1.2
    burn 125 110 48 80 9 0 0 0 25 36
    frame    data/chars/bosses/shivabot/s01.png
    delay 1
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/s01.png
    delay    8
    hitflash Impact
    burn 125 110 62 80 15 1 0 0 25 36
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s02.png
    @cmd dasher 1
    burn 125 110 65 80 15 1 0 0 45 36
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s03.png
    @cmd dasher 0.5 0 0
    burn 125 110 65 80 15 1 0 0 45 36
    dropv 3 5 0
    frame    data/chars/bosses/shivabot/s04.png
    delay 1
    @cmd dasher 0 0 0
    burn 125 110 60 80 15 1 0 0 45 36
    dropv 3 5 0
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    frame    data/chars/bosses/shivabot/s05.png

anim follow8 #AERIAL SPECIAL
    fastattack 1
    forcedirection 0
    otg 1
    jugglecost 1
    energycost 10 1 6
    @cmd healStart
    loop    0
    delay    8
    offset    138 192
    bbox     165 120 31 73
    frame    data/chars/bosses/shivabot/slam06.png
    attack 170 118 45 50 0 0 1 1 0 12
    dropv 0 1 0
    frame    data/chars/bosses/shivabot/slam06.png
        delay    24
    bbox     160 120 50 70
    attack 180 130 55 55 0 0 1 1 0 12
    dropv 0 1 0
    frame    data/chars/bosses/shivabot/slam07.png
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     132 114 21 58
    frame    data/chars/bosses/shivabot/jump00.png
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/jump01.png

anim follow9 #AERIAL RECOVER
    loop    0
    delay    12
    offset    138 192
    sound    data/sounds/SpecialAttack5.wav
    @cmd landSafe
    @cmd invinc 2
    @cmd leaper -1.3 1.6 0
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump01.png

anim follow10 #DODGE
    loop    0
    delay    6
    offset    138 192
    sound    data/sounds/Jumping2.wav
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
        delay    2
    frame    data/chars/bosses/shivabot/jump00.png
    @cmd landFrame
        delay    6
    sound    data/sounds/Jumpland.wav
    @cmd dasher 0 0 0
    frame    data/chars/bosses/shivabot/jumpland00.png
    @cmd keyAni "attack3" "ANI_FOLLOW11" "blockType" "hold"
    #@cmd keyAni "attack3" "ANI_FOLLOW11" "blockType" "hold_(alt._mode_on)"
    #@cmd keyAni "special" "ANI_FOLLOW11" "blockType" "hold_(alt._mode_on)"
    frame    data/chars/bosses/shivabot/jumpland00.png


anim dodge
    range 0 80
    rangea 0 100
    rangez -24 24
    loop    0
    delay    2
    offset    138 192
    frame    data/chars/bosses/shivabot/jumpdelay00.png
        delay    6
    @cmd leapRandom 2 2 1
    sound    data/sounds/Jumping2.wav
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
    frame    data/chars/bosses/shivabot/jump00.png
        delay    2
    frame    data/chars/bosses/shivabot/jump00.png
    @cmd landFrame
        delay    6
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/jumpland00.png
    frame    data/chars/bosses/shivabot/jumpland00.png

anim freespecial10
    range 20 60
    rangea 5 120
    rangez -9 9
    fastattack 1
    jugglecost 1
    forcedirection -1
    energycost -15 1 6
    otg 1
    loop    0
    delay    3
    offset    138 192
    @cmd dasher 0
    hitfx    data/sounds/MediumKick.wav
    sound    data/sounds/SpecialAttack.wav
    frame    data/chars/bosses/shivabot/finalcrash00.png
        delay    6
    attack2 147 140 41 54 6 0 0 0 18 24
    sound    data/voices/Shiva4.wav
    frame    data/chars/bosses/shivabot/finalcrash01.png
    @cmd rageCancel 20 60 0 80 0 "ANI_FOLLOW7" "hit"
    attack 0 0 0 0 0 0 0 0 0 0
    frame    data/chars/bosses/shivabot/finalcrash02.png
    attack2 124 152 59 42 6 0 0 0 32 24
    frame    data/chars/bosses/shivabot/finalcrash03.png
    @cmd rageCancel 40 80 0 0 60 "ANI_FREESPECIAL" "hit"
    attack 0 0 0 0 0 0 0 0 0 0
    hitfx    data/sounds/HighKick.wav
    frame    data/chars/bosses/shivabot/finalcrash03.png
    burn 144 106 55 53 8 1 0 0 24 24
    dropv 4 2 0
    bbox     116 135 33 59
    frame    data/chars/bosses/shivabot/finalcrash04.png
    @cmd leaper 1 2.2 0
    burn 137 76 37 63 8 1 0 0 16 24
    dropv 4 2 0
    bbox     126 127 37 39
    frame    data/chars/bosses/shivabot/finalcrash05.png
    @cmd flip
    @cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "random"
    attack 0 0 0 0 0 0 0 0 0 0
    bbox     117 128 48 33
    frame    data/chars/bosses/shivabot/finalcrash06.png
    bbox     116 123 47 31
    frame    data/chars/bosses/shivabot/finalcrash07.png
        delay    2
    bbox     133 114 22 53
    frame    data/chars/bosses/shivabot/finalcrash08.png
    @cmd landFrame
        delay    12
    @cmd flip
    @cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
    @cmd rageCancel 20 100 0 120 10 "ANI_JUMPATTACK2" "hit"
    @cmd rageCancel -150 150 0 120 5 "ANI_FREESPECIAL4" "hit"
    bbox     123 155 31 39
    sound    data/sounds/Jumpland.wav
    frame    data/chars/bosses/shivabot/finalcrash09.png

anim block
    range 0 100
    rangea 0 100
    rangez -24 24
    @cmd dasher 0 0 0
    loop    0
    delay    96
    offset    138 192
    bbox     121 110 33 83
    frame    data/chars/bosses/shivabot/block00.png
