##MAIN
name				ShivaB
	@cmd dasher 2 0 0
	frame	data/chars/bosses/shiva/finalcrash00.png
	@cmd dasher 1 0 0
	frame	data/chars/bosses/shiva/finalcrash00.png
	@cmd dasher 0.5 0 0
	frame	data/chars/bosses/shiva/finalcrash00.png
	@cmd dasher 0 0 0
	frame	data/chars/bosses/shiva/finalcrash00.png
		delay	6
	attack2 147 140 41 54 6 0 0 0 10 24
	seal 1 1
	sound	data/voices/Shiva2.wav
	frame	data/chars/bosses/shiva/finalcrash01.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/finalcrash02.png
	attack2 149 152 59 42 6 0 0 0 10 24
	seal 1 1
	frame	data/chars/bosses/shiva/finalcrash03.png
	attack 0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/bosses/shiva/finalcrash03.png
	burn 173 106 55 53 8 1 0 0 30 24
	seal 1 1
	bbox 	148 135 33 59
	frame	data/chars/bosses/shiva/finalcrash04.png
	@cmd leaper 1 2.2 0
	burn 149 87 37 51 8 1 0 0 10 24
	seal 1 1
	bbox 	136 130 37 39
	frame	data/chars/bosses/shiva/finalcrash05.png
	@cmd rageCancel 40 120 40 160 60 "ANI_FOLLOW1" "hit"
	@cmd rageCancel 40 120 40 160 15 "ANI_FREESPECIAL3" "hit"
	@cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "hit"
	@cmd flip
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	109 123 48 33
	frame	data/chars/bosses/shiva/finalcrash06.png
	bbox 	116 113 47 31
	@cmd clearL
	frame	data/chars/bosses/shiva/finalcrash07.png
		delay	2
	bbox 	130 110 22 53
	frame	data/chars/bosses/shiva/finalcrash08.png
	@cmd landFrame
		delay	12
	bbox 	120 155 31 39
	sound	data/sounds/Jumpland.wav
	@cmd flip
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel -150 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/finalcrash09.png

anim freespecial3 #EAGLE KICK
	range 40 80
	rangea 0 100
	fastattack 1
	jugglecost 1
	energycost 15 1 6
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	138 192
	bbox 	130 130 29 33
	hitfx	data/sounds/StrongPunch.wav
	sound	data/sounds/Fire.wav
	@cmd leaper 1.5 2 0
	frame	data/chars/bosses/shiva/special200.png
		delay	12
	burn 130 100 65 75 8 1 0 0 30 24
	seal 1 1
	dropv 2.5 1.5 0
	bbox 	128 114 29 40
	frame	data/chars/bosses/shiva/special201.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special201.png
		delay	4
	burn 130 80 100 120 16 1 0 0 30 24
	seal 1 1
	dropv 2.5 1.5 0
	bbox 	122 116 34 50
	frame	data/chars/bosses/shiva/special202.png
	@cmd rageCancel 40 150 40 160 60 "ANI_FOLLOW1" "hit"
	@cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "hit"
		delay	2
	burn 130 80 100 120 16 1 0 0 30 24
	seal 1 1
	dropv 2.5 1.5 0
	frame	data/chars/bosses/shiva/special203.png
	@cmd landFrame
		delay	12
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	120 155 31 39
	sound	data/sounds/Jumpland.wav
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel -150 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	@cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "hit"
	frame	data/chars/bosses/shiva/jumpland00.png

anim freespecial4 #GRAB RUN
	range 40 120
	rangea 0 0
	rangez -9 9
	followanim 5
	followcond 4
	attackone 1
	fastattack 1
	jugglecost 1
	energycost 5 1 6
	forcedirection -1
	otg 1
	loop	0
	delay	8
	offset	138 192
	sound	data/voices/Attack3.wav
	@cmd block 1
	bbox 	128 114 20 80
	frame	data/chars/bosses/shiva/block00.png
	frame	data/chars/bosses/shiva/block00.png
	frame	data/chars/bosses/shiva/block00.png
	@cmd block 0
		delay	12
	@cmd target 3 2
	sound	data/sounds/Slide.wav
	bbox 	145 149 35 45
	@cmd dashTarget
	attack 145 149 35 45 1 0 1 1 0 24
	frame	data/chars/bosses/shiva/run00.png
	@cmd target 3 2
	@cmd dashTarget
	frame	data/chars/bosses/shiva/run01.png
	@cmd target 3 2
	@cmd dashTarget
	sound	data/sounds/Slide.wav
	frame	data/chars/bosses/shiva/run00.png
	@cmd target 3 2
	@cmd dashTarget
	frame	data/chars/bosses/shiva/run01.png
	@cmd target 3 2
	@cmd dashTarget
	frame	data/chars/bosses/shiva/run00.png
	@cmd dasher 0
	frame	data/chars/bosses/shiva/run01.png

anim freespecial5 #SHADOWLESS FIST
	range 80 150
	rangea 25 80
	rangez -24 24
	fastattack 1
	jugglecost 0
	energycost 25 1 6
	forcedirection -1
	otg 1
	hitflash flash
	loop	0
	delay	6
	offset	138 192
	hitfx	data/sounds/SpecialAttack2.wav
	sound	data/voices/Attack4.wav
	frame	data/chars/bosses/shiva/run00.png
		delay 24
	@cmd dasher 10 0 0
	attack 96 60 94 135 2 1 0 0 30 36
	seal 1 1
	sound	data/sounds/Shring5.wav
	frame	data/chars/bosses/shiva/rage00.png
		delay 8
	@cmd dasher 0 0 0
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/run01.png
	frame	data/chars/bosses/shiva/a201.png

anim freespecial6 #HADOUKEN
	range 40 80
	rangea 0 60
	rangez -9 9
	fastattack 1
	jugglecost 3
	energycost 20 1 6
	forcedirection -1
	otg 1
	loop	0
	delay	6
	offset	138 192
	hitfx	data/sounds/HighPunch.wav
	bbox 124 116 28 76
	@cmd dasher 3.5 0 0
	frame	data/chars/bosses/shiva/s00.png
	sound	data/voices/attack4.wav
	@cmd dasher 2.4 0 0
	bbox 129 128 25 72
	attack 125 110 48 80 5 0 0 0 25 36
	frame	data/chars/bosses/shiva/s01.png
	delay 1
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/s01.png
	@cmd dasher 1.8 0 0
	delay 6
	hitflash Impact
	bbox 132 123 27 67
	attack8 125 110 62 80 7 1 0 0 25 36
	dropv 3 5 0
	frame	data/chars/bosses/shiva/s02.png
	@cmd dasher 1.5 0 0
	delay 4
	attack8 125 110 65 80 9 1 0 0 45 36
	dropv 3 5 0
	frame	data/chars/bosses/shiva/s03.png
	@cmd dasher 1 0 0
	delay 2
	attack8 125 110 65 80 9 1 0 0 45 36
	dropv 3 5 0
	frame	data/chars/bosses/shiva/s04.png
	delay 1
	@cmd dasher 0.5 0 0
	attack8 125 110 60 80 9 1 0 0 45 36
	dropv 3 5 0
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/s05.png

anim freespecial8 #UPPER
	range 0 40
	rangea 5 100
	rangez -9 9
	fastattack 1
	jugglecost 3
	energycost -5 1 6
	forcedirection -1
	otg 1
	loop	0
	delay	4
	offset	138 192
	hitfx	data/sounds/MediumKick.wav
	sound	data/sounds/HighAttack.wav
	attack2 136 148 50 31 4 0 0 0 20 12
	frame	data/chars/bosses/shiva/a300.png
		delay	2
	attack 0 0 0 0 0 0 0 0 0 0
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/bosses/shiva/a300.png
		delay	4
	attack 135 133 61 22 8 1 0 0 15 12
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a301.png
	attack 135 95 46 47 8 1 0 0 15 12
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a302.png
	@cmd rageCancel 0 120 0 160 60 "ANI_FOLLOW1" "hit"
	@cmd rageCancel 20 100 0 120 0 "ANI_JUMPATTACK2" "hit"
		delay	24
	attack 133 83 26 54 8 1 0 0 15 12
	bbox 	122 114 19 80
	dropv 3.7 1 0
	frame	data/chars/bosses/shiva/a303.png
		delay	4
	attack 0 0 0 0 0 0 0 0 0 0
	bbox 	128 114 18 80
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel -150 150 0 80 20 "ANI_FREESPECIAL5" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL4" "hit"
	frame	data/chars/bosses/shiva/a304.png

anim freespecial9 #DOUBLE RUSH
	range 80 160
	rangea 0 100
	rangez -15 15
	fastattack 1
	fastattack 0
	forcedirection -1
	energycost -20 1 6
	otg 1
	loop	0
	delay	24
	offset	138 192
	@cmd dasher 0 0 0
	hitfx	data/sounds/WeakPunch.wav
	sound	data/voices/Attack3.wav
	@cmd spawnAnim "Shiva_Double" 0 0 0
	frame	data/chars/bosses/shiva/a203.png
	frame	data/chars/bosses/shiva/a202.png
	delay	48
	@cmd looParent 2
	frame	data/chars/bosses/shiva/a201.png

anim follow3 #RAGE STRIKE
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	hitflash flash
	loop	0
	delay	16
	offset	138 192
	hitfx	data/sounds/HighPunch.wav
	frame	data/chars/bosses/shiva/rage00.png
		delay	4
	@cmd dasher 0 0 0
	attack -120 20 230 175 5 0 0 0 5 36
	seal 1 1
	frame	data/chars/bosses/shiva/wait00.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/wait00.png
	@cmd looper 1 9
	burn -120 20 230 175 5 0 0 0 5 36
	seal 1 1
	frame	data/chars/bosses/shiva/wait00.png
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/wait00.png


anim follow5 #ANIMATION FOR DOGRAB ONLY
	loop	0
	delay	16
	offset	138 192
	@cmd dasher 0
	@cmd landGrab
	frame	data/chars/bosses/shiva/run00.png

anim follow7 #COUNTER
	fastattack 1
	jugglecost 1
	forcedirection 0
	otg 1
	energycost 40 1 6
	loop	0
	delay	4
	offset	138 192
	@cmd mpCost -75
	hitfx	data/sounds/HighKick.wav
	frame	data/chars/bosses/shiva/block00.png
	@cmd spawn01 "Counter" 0 0 1
	@cmd block 0
	sound	data/sounds/Fire.wav
	frame	data/chars/bosses/shiva/special00.png
	frame	data/chars/bosses/shiva/special01.png
	attack 83 141 49 35 16 1 0 0 20 12
	frame	data/chars/bosses/shiva/special02.png
	attack 73 117 63 30 16 1 0 0 20 12
	frame	data/chars/bosses/shiva/special03.png
	attack 129 93 53 53 16 1 0 0 20 12
	frame	data/chars/bosses/shiva/special04.png
	attack 141 103 61 49 16 1 0 0 20 12
	frame	data/chars/bosses/shiva/special05.png
	attack 141 138 57 43 16 1 0 0 20 12
	frame	data/chars/bosses/shiva/special06.png
	@cmd rageCancel 40 70 0 80 20 "ANI_FREESPECIAL6" "hit"
	@cmd rageCancel 0 150 0 160 5 "ANI_FREESPECIAL4" "hit"
		delay	16
	attack 0 0 0 0 0 0 0 0 0 0
	frame	data/chars/bosses/shiva/special07.png

anim follow10 #DODGE
	loop	0
	delay	6
	offset	138 192
	sound	data/sounds/Jumping2.wav
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
		delay	2
	frame	data/chars/bosses/shiva/jump00.png
	@cmd landFrame
		delay	6
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png
	@cmd keyAni "attack3" "ANI_FOLLOW11" "blockType" "hold"
	#@cmd keyAni "attack3" "ANI_FOLLOW11" "blockType" "hold_(alt._mode_on)"
	#@cmd keyAni "special" "ANI_FOLLOW11" "blockType" "hold_(alt._mode_on)"
	frame	data/chars/bosses/shiva/jumpland00.png


anim dodge
	range 0 60
	rangea 0 100
	rangez -24 24
	loop	0
	delay	2
	offset	138 192
	frame	data/chars/bosses/shiva/jumpdelay00.png
		delay	6
	@cmd leapRandom 2 2 1
	sound	data/sounds/Jumping2.wav
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
	frame	data/chars/bosses/shiva/jump00.png
		delay	2
	frame	data/chars/bosses/shiva/jump00.png
	@cmd landFrame
		delay	6
	sound	data/sounds/Jumpland.wav
	frame	data/chars/bosses/shiva/jumpland00.png
	frame	data/chars/bosses/shiva/jumpland00.png

anim block
	range 0 100
	rangea 0 100
	rangez -24 24
	@cmd dasher 0 0 0
	loop	0
	delay	96
	offset	138 192
	bbox 	119 110 33 83
	frame	data/chars/bosses/shiva/block00.png
